year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_grf,spend_hcs,spend_tws
2020,1,13,1,-0.00322,0.0070599999999999994,-0.0021899999999999997,0.00389,-0.0355,-0.0051
2020,1,13,2,0.0066,-0.0779,-0.00107,-0.009559999999999999,0.0604,-0.0325
2020,1,13,3,-0.10400000000000001,0.0334,-0.0007740000000000001,0.0124,-0.00547,0.0181
2020,1,13,4,-0.0356,-0.15,-0.00982,0.00405,0.0305,-0.0179
2020,1,13,5,-0.0077,-0.0404,-0.0111,0.008879999999999999,-0.006529999999999999,0.00175
2020,1,13,6,0.0192,0.0204,0.0031,0.0173,-0.0885,0.0212
2020,1,13,7,-0.0366,-0.0106,-0.0161,0.0325,0.0287,0.0276
2020,1,13,8,-0.0016699999999999998,-0.10099999999999999,-0.0156,0.0011300000000000001,0.0211,-0.0177
2020,1,13,9,-0.0377,0.038,0.005520000000000001,0.0918,-0.0144,-0.00524
2020,1,13,10,-0.0152,0.0561,0.00128,0.00062,-0.033,0.0356
2020,1,13,11,0.0116,-0.0328,0.00126,0.0237,-0.000121,-0.09699999999999999
2020,1,13,12,0.0157,0.11900000000000001,0.0136,0.0159,-0.0108,0.00162
2020,1,13,13,0.0115,-0.0722,0.0126,0.0139,0.0466,0.0182
2020,1,13,14,0.0333,-0.0594,0.007359999999999999,-0.0263,0.0345,0.0365
2020,1,13,16,-0.0374,-0.016,0.00564,0.00837,0.00037,0.0265
2020,1,13,17,-0.0472,-0.0742,-0.0144,0.00834,-0.11699999999999999,-0.0254
2020,1,13,19,0.00477,-0.0326,0.009729999999999999,0.0089,-0.008020000000000001,0.0561
2020,1,13,20,0.0114,0.0444,0.0123,-0.00221,-0.11599999999999999,-0.025
2020,1,13,21,-0.0427,0.114,0.017,0.0272,0.0599,0.0171
2020,1,13,22,-0.00539,0.0128,-0.0159,-0.0116,0.133,0.0157
2020,1,13,23,0.0232,0.102,-0.00364,-0.0314,0.0111,0.0453
2020,1,13,24,0.019,-0.0303,0.0211,0.0558,-0.0055899999999999995,0.013000000000000001
2020,1,13,25,0.0126,0.0347,0.00602,-0.0205,-0.159,0.0452
2020,1,13,27,0.0348,0.16399999999999998,-0.0118,0.0143,0.6509999999999999,-0.126
2020,1,13,28,0.0221,0.0344,-0.00364,0.0017100000000000001,-0.063,0.0367
2020,1,13,29,0.0191,0.00938,-0.00519,0.0117,-0.0992,-0.0492
2020,1,13,30,-0.09699999999999999,0.2,-0.0438,-0.0565,-0.0905,-0.129
2020,1,13,31,-0.111,-0.13,-0.042,0.0203,-0.128,0.135
2020,1,13,32,0.0118,0.00426,-0.0284,-0.0945,0.0755,-0.0992
2020,1,13,33,-0.0223,-0.0263,-0.000376,-0.0179,-0.0275,0.0789
2020,1,13,34,0.0128,0.0388,0.0111,0.00968,-0.0204,0.0917
2020,1,13,35,-0.0204,0.0176,-0.00118,0.00106,-0.0879,0.00606
2020,1,13,36,-0.019,0.191,0.0233,0.0135,0.0409,0.027999999999999997
2020,1,13,37,0.0526,-0.128,0.0274,0.0511,-0.0579,-0.0391
2020,1,13,38,-0.00124,-0.0358,-0.00859,0.00617,-0.0111,0.0251
2020,1,13,39,0.0145,-0.00443,0.0176,-0.0044399999999999995,0.043,0.017
2020,1,13,40,-0.0482,-0.0052,-0.00379,0.0152,-0.113,0.0301
2020,1,13,41,0.00449,0.17600000000000002,0.0119,0.00253,0.0165,-0.0247
2020,1,13,42,-0.0259,-0.0515,-0.0167,0.0199,-0.0188,0.0217
2020,1,13,43,-0.0262,-0.124,-0.0172,-0.00425,-0.0623,0.012
2020,1,13,44,-0.0291,0.256,0.00806,0.0216,-0.0133,0.00207
2020,1,13,45,0.0072900000000000005,0.221,0.0128,0.0235,0.16699999999999998,-0.13699999999999998
2020,1,13,46,0.0319,0.0689,0.0351,-0.0198,-0.00034700000000000003,0.0237
2020,1,13,47,-0.0281,-0.20800000000000002,-0.0112,-0.00967,-0.10400000000000001,-0.0243
2020,1,13,48,-0.0291,-0.00763,-0.00731,-0.0104,-0.0122,-0.00037400000000000004
2020,1,13,49,0.000331,-0.051,0.00224,-0.0009689999999999999,0.0251,0.00859
2020,1,13,50,0.00742,-0.00062,-0.0315,0.0023899999999999998,0.0317,-0.0154
2020,1,13,51,-0.0779,-0.11199999999999999,-0.012,-0.0026,0.105,0.0656
2020,1,13,52,-0.0343,-0.152,0.00198,-0.00748,0.0253,-0.1
2020,1,13,53,-0.055999999999999994,-0.067,-0.0033200000000000005,0.00116,0.0886,-0.00434
2020,1,14,1,-0.0023,0.0011099999999999999,0.000657,-0.00038700000000000003,-0.0259,-1.3000000000000001e-05
2020,1,14,2,0.00692,-0.0724,0.00149,-0.0096,0.0511,-0.0179
2020,1,14,3,-0.0864,0.0736,0.00296,0.006529999999999999,0.00856,0.0152
2020,1,14,4,-0.0286,-0.11599999999999999,-0.00619,0.00044500000000000003,0.0278,-0.0109
2020,1,14,5,-0.00778,-0.0297,-0.00635,0.0038799999999999998,-0.00418,0.00916
2020,1,14,6,0.0184,0.0294,0.00674,0.0105,-0.0644,0.0231
2020,1,14,7,-0.027000000000000003,-0.0162,-0.00976,0.0208,0.0334,0.0263
2020,1,14,8,0.00321,-0.0707,-0.0059,-0.00267,0.0291,-0.00598
2020,1,14,9,-0.0322,0.0478,-0.00147,0.0613,-0.0411,0.00565
2020,1,14,10,-0.011000000000000001,0.0651,0.0039,-0.0034200000000000003,-0.0248,0.0349
2020,1,14,11,0.0115,0.0074,0.0052899999999999996,0.0122,0.00795,-0.0893
2020,1,14,12,0.0143,0.0934,0.0109,0.0116,0.0014199999999999998,0.00283
2020,1,14,13,0.015,-0.0709,0.00985,0.013999999999999999,0.0398,0.0101
2020,1,14,14,0.0286,-0.0531,0.00502,-0.0235,0.021,0.035
2020,1,14,16,-0.0286,-0.0015400000000000001,0.007490000000000001,-0.000122,0.00277,0.0306
2020,1,14,17,-0.0346,-0.0444,-0.0109,0.00255,-0.081,-0.0174
2020,1,14,19,0.00731,0.000529,0.0135,0.00689,-0.00292,0.0523
2020,1,14,20,0.009890000000000001,0.099,0.00412,-0.0153,-0.0961,-0.0338
2020,1,14,21,-0.0208,0.0803,0.0197,0.0217,0.0636,0.0227
2020,1,14,22,-0.00992,0.0106,-0.008879999999999999,-0.0153,0.122,0.038
2020,1,14,23,0.0143,0.0901,-0.00375,-0.0279,0.00836,0.0323
2020,1,14,24,0.00952,-0.0050100000000000006,0.0137,0.0369,-0.00495,0.007240000000000001
2020,1,14,25,0.0195,0.0174,0.00777,-0.0234,-0.128,0.0439
2020,1,14,27,0.0304,0.11599999999999999,-0.00465,0.0225,0.575,-0.106
2020,1,14,28,0.0201,0.0311,-0.00215,-0.006670000000000001,-0.0574,0.0364
2020,1,14,29,0.0323,0.0166,-1.09e-08,0.0018100000000000002,-0.0742,-0.0473
2020,1,14,30,-0.0847,0.155,-0.0383,-0.0583,-0.0818,-0.11199999999999999
2020,1,14,31,-0.0957,-0.0978,-0.0368,0.009940000000000001,-0.10400000000000001,0.102
2020,1,14,32,0.0181,0.0223,-0.015,-0.0891,0.0721,-0.0855
2020,1,14,33,-0.0185,-0.00657,-0.00018,-0.0186,-0.0175,0.0607
2020,1,14,34,0.00983,0.0466,0.00898,0.00499,-0.0151,0.0637
2020,1,14,35,-0.0119,0.007359999999999999,0.00315,2.8800000000000002e-05,-0.0634,-0.0019199999999999998
2020,1,14,36,-0.0102,0.195,0.0231,0.00635,0.0405,0.0263
2020,1,14,37,0.0445,-0.073,0.0302,0.0391,-0.0646,-0.0279
2020,1,14,38,0.00468,-0.0202,-0.00288,-0.000354,-0.0101,0.0277
2020,1,14,39,0.0126,0.008620000000000001,0.0148,-0.00965,0.0315,0.0226
2020,1,14,40,-0.0488,0.0086,-0.0039700000000000004,0.0119,-0.10400000000000001,0.0353
2020,1,14,41,0.00314,0.163,0.0146,0.00267,0.0227,-0.0179
2020,1,14,42,-0.0292,-0.0259,-0.017,0.0135,-0.017,0.02
2020,1,14,43,-0.0149,-0.0792,-0.0113,-0.0047799999999999995,-0.0319,0.0103
2020,1,14,44,-0.00972,0.256,0.0171,0.0143,-0.0331,-2.8699999999999996e-05
2020,1,14,45,0.0171,0.258,0.0175,0.0209,0.105,-0.0999
2020,1,14,46,0.0145,0.0994,0.0227,-0.0205,-0.0353,0.0301
2020,1,14,47,-0.0213,-0.154,-0.00624,-0.013000000000000001,-0.0627,-0.0342
2020,1,14,48,-0.0226,-0.0127,-0.000388,-0.0114,0.015,-0.000236
2020,1,14,49,0.000122,-0.0322,0.0017,-0.008190000000000001,0.0201,0.00339
2020,1,14,50,0.0112,0.0176,-0.0207,0.000907,0.0105,-0.0056
2020,1,14,51,-0.0679,-0.08,-0.00797,0.00114,0.0893,0.0563
2020,1,14,52,-0.0241,-0.114,0.00801,-0.00713,0.0524,-0.0943
2020,1,14,53,-0.0498,-0.0438,0.000547,-0.000499,0.0951,-0.00109
2020,1,15,1,-0.00137,-0.00483,0.0035,-0.00466,-0.0164,0.0050799999999999994
2020,1,15,2,0.007240000000000001,-0.067,0.00404,-0.00963,0.0417,-0.00331
2020,1,15,3,-0.0691,0.114,0.006690000000000001,0.0007030000000000001,0.0226,0.0122
2020,1,15,4,-0.0217,-0.0825,-0.00257,-0.00316,0.0252,-0.00395
2020,1,15,5,-0.00787,-0.019,-0.00156,-0.0011300000000000001,-0.0018399999999999998,0.0166
2020,1,15,6,0.0177,0.0385,0.0104,0.00364,-0.0403,0.025
2020,1,15,7,-0.0174,-0.0218,-0.00345,0.009059999999999999,0.0381,0.025
2020,1,15,8,0.0081,-0.0409,0.0038299999999999996,-0.00648,0.0371,0.00573
2020,1,15,9,-0.0268,0.0576,-0.008459999999999999,0.0308,-0.0678,0.0165
2020,1,15,10,-0.00673,0.0741,0.006520000000000001,-0.00745,-0.0166,0.0343
2020,1,15,11,0.0113,0.0475,0.00932,0.000676,0.016,-0.0816
2020,1,15,12,0.0128,0.0682,0.00823,0.007359999999999999,0.0137,0.00403
2020,1,15,13,0.0184,-0.0695,0.00713,0.0141,0.0329,0.00202
2020,1,15,14,0.0238,-0.0468,0.00268,-0.0206,0.007379999999999999,0.0335
2020,1,15,16,-0.0198,0.0129,0.009340000000000001,-0.00861,0.0051600000000000005,0.0347
2020,1,15,17,-0.022000000000000002,-0.0146,-0.00755,-0.00324,-0.0451,-0.00945
2020,1,15,19,0.00985,0.0336,0.0172,0.00488,0.00218,0.0484
2020,1,15,20,0.0084,0.154,-0.00404,-0.0283,-0.0761,-0.0425
2020,1,15,21,0.0010199999999999999,0.0463,0.0225,0.0161,0.0673,0.0284
2020,1,15,22,-0.0144,0.00838,-0.0018100000000000002,-0.0191,0.111,0.0603
2020,1,15,23,0.00545,0.0781,-0.00385,-0.0244,0.00556,0.0194
2020,1,15,24,2.26e-05,0.0203,0.0062,0.018000000000000002,-0.0043100000000000005,0.00149
2020,1,15,25,0.0264,2.14e-05,0.00952,-0.0264,-0.0976,0.0427
2020,1,15,27,0.026000000000000002,0.0689,0.00247,0.0307,0.499,-0.0857
2020,1,15,28,0.0182,0.0278,-0.00067,-0.0151,-0.0519,0.0361
2020,1,15,29,0.0456,0.0237,0.00519,-0.00806,-0.0491,-0.0455
2020,1,15,30,-0.0723,0.109,-0.0327,-0.06,-0.0731,-0.0954
2020,1,15,31,-0.0803,-0.0657,-0.0316,-0.00040199999999999996,-0.0805,0.068
2020,1,15,32,0.0245,0.0404,-0.00151,-0.0836,0.0687,-0.0718
2020,1,15,33,-0.0148,0.0131,1.62e-05,-0.0192,-0.00744,0.0425
2020,1,15,34,0.006840000000000001,0.0543,0.00689,0.000288,-0.00983,0.0358
2020,1,15,35,-0.0033799999999999998,-0.00288,0.00748,-0.000999,-0.0389,-0.009909999999999999
2020,1,15,36,-0.00137,0.19899999999999998,0.0229,-0.000819,0.0401,0.0247
2020,1,15,37,0.0365,-0.0179,0.033,0.027000000000000003,-0.0713,-0.0167
2020,1,15,38,0.0106,-0.00464,0.00283,-0.00687,-0.00908,0.0304
2020,1,15,39,0.0107,0.0217,0.012,-0.0149,0.0201,0.0283
2020,1,15,40,-0.0495,0.0224,-0.00415,0.008579999999999999,-0.0944,0.0404
2020,1,15,41,0.0017800000000000001,0.151,0.0173,0.00282,0.0289,-0.0111
2020,1,15,42,-0.0325,-0.000212,-0.0173,0.0070599999999999994,-0.0151,0.0182
2020,1,15,43,-0.00367,-0.0339,-0.0053100000000000005,-0.00532,-0.00137,0.0085
2020,1,15,44,0.00965,0.255,0.0261,0.00692,-0.0528,-0.00212
2020,1,15,45,0.0269,0.294,0.0222,0.0182,0.0436,-0.0626
2020,1,15,46,-0.0028899999999999998,0.13,0.0102,-0.0213,-0.0702,0.0365
2020,1,15,47,-0.0145,-0.0997,-0.00133,-0.0163,-0.0213,-0.0441
2020,1,15,48,-0.0161,-0.0178,0.006529999999999999,-0.0124,0.0422,-9.71e-05
2020,1,15,49,-8.77e-05,-0.0135,0.00116,-0.0154,0.015,-0.0018
2020,1,15,50,0.0151,0.0358,-0.00984,-0.0005780000000000001,-0.0107,0.00425
2020,1,15,51,-0.0579,-0.0478,-0.0039,0.00488,0.0733,0.047
2020,1,15,52,-0.0139,-0.0761,0.013999999999999999,-0.006790000000000001,0.0795,-0.0881
2020,1,15,53,-0.0435,-0.0206,0.00442,-0.00215,0.102,0.00216
2020,1,16,1,-0.000449,-0.0108,0.00634,-0.00894,-0.006790000000000001,0.0102
2020,1,16,2,0.007559999999999999,-0.0615,0.0066,-0.00967,0.0324,0.0113
2020,1,16,3,-0.0518,0.154,0.0104,-0.00512,0.0366,0.00919
2020,1,16,4,-0.0147,-0.0489,0.00106,-0.0067599999999999995,0.0225,0.00305
2020,1,16,5,-0.00795,-0.00829,0.00323,-0.00613,0.0005139999999999999,0.024
2020,1,16,6,0.017,0.0475,0.013999999999999999,-0.0031899999999999997,-0.0161,0.0269
2020,1,16,7,-0.00777,-0.0273,0.00286,-0.00265,0.0428,0.0237
2020,1,16,8,0.013000000000000001,-0.011000000000000001,0.0136,-0.0103,0.0452,0.0174
2020,1,16,9,-0.0214,0.0674,-0.0154,0.000242,-0.0946,0.0274
2020,1,16,10,-0.00249,0.083,0.00914,-0.0115,-0.00838,0.0336
2020,1,16,11,0.0111,0.0877,0.0134,-0.0108,0.0241,-0.0739
2020,1,16,12,0.0114,0.043,0.00554,0.00309,0.0259,0.00524
2020,1,16,13,0.0218,-0.0682,0.00441,0.0142,0.0261,-0.00605
2020,1,16,14,0.019,-0.0404,0.000344,-0.0177,-0.00619,0.032
2020,1,16,16,-0.011000000000000001,0.0273,0.0112,-0.0171,0.007559999999999999,0.0388
2020,1,16,17,-0.00936,0.0152,-0.00415,-0.009040000000000001,-0.00914,-0.00147
2020,1,16,19,0.0124,0.0667,0.0209,0.0028699999999999997,0.00727,0.0445
2020,1,16,20,0.0069,0.20800000000000002,-0.0122,-0.0414,-0.055999999999999994,-0.0513
2020,1,16,21,0.0229,0.0124,0.0253,0.0105,0.071,0.034
2020,1,16,22,-0.019,0.00615,0.00525,-0.0228,0.10099999999999999,0.0826
2020,1,16,23,-0.00343,0.066,-0.00396,-0.0209,0.00277,0.0064
2020,1,16,24,-0.009470000000000001,0.0457,-0.00126,-0.000889,-0.00367,-0.00426
2020,1,16,25,0.0333,-0.0173,0.0113,-0.0294,-0.0669,0.0414
2020,1,16,27,0.0217,0.0214,0.009590000000000001,0.0389,0.423,-0.0653
2020,1,16,28,0.0162,0.0246,0.000813,-0.0234,-0.0463,0.0359
2020,1,16,29,0.0588,0.0309,0.0104,-0.0179,-0.0241,-0.0437
2020,1,16,30,-0.06,0.064,-0.0271,-0.0618,-0.0644,-0.0787
2020,1,16,31,-0.0648,-0.0337,-0.0265,-0.0107,-0.0565,0.0343
2020,1,16,32,0.0308,0.0585,0.012,-0.0782,0.0653,-0.0581
2020,1,16,33,-0.011000000000000001,0.0328,0.000212,-0.0199,0.0025800000000000003,0.0244
2020,1,16,34,0.00385,0.062,0.0048,-0.00441,-0.00455,0.00783
